ID_SITE,ID_ENTITY,entity_name,latitude,longitude,elevation,depositional_context,measurement_method,TYPE,source,core_location,last_updated,ID_UNIT,id,ENTITY_ID,"Alpha-2 code","Alpha-3 code"
1,1,"Cygnet core",44.66,-110.61,2530,"lake sediment",Sieved,concentration,"Global Charcoal Database Version 4",-777777,2020-03-06,11,0,1,US,USA
2,4,"Slough Creek Pond core",44.91,-110.34,1884,"lake sediment",Sieved,concentration,"Global Charcoal Database Version 4",-777777,2020-03-06,11,1,4,US,USA
3,5,"Burnt Knob core",45.7,-114.98,2250,"lake sediment",Sieved,influx,IMPD,"central core",2021-05-07,10,2,5,US,USA
4,6,"Baker core",45.891785,-114.263047,2300,"lake sediment",Sieved,influx,"Global Charcoal Database Version 4","central core",2021-05-07,10,3,6,US,USA
5,7,"Hoodoo core",46.320193,-114.651545,1770,"lake sediment",Sieved,influx,"Global Charcoal Database Version 4","central core",2021-05-07,10,4,7,US,USA
6,9,"Pintlar core",45.84,-113.44,1921,"lake sediment",Sieved,concentration,"Global Charcoal Database Version 4",-777777,2020-03-06,11,5,9,US,USA
8,13,"Bolan core",41.0225,-122.4583,1637,"lake sediment",Sieved,concentration,"Global Charcoal Database Version 4","central core",2021-05-07,11,6,13,US,USA
9,15,"Bluff core",41.346415,-122.55995,1921,"lake sediment",Sieved,concentration,IMPD,"central core",2021-05-07,11,7,15,US,USA
10,16,"Cedar core",41.207395,-122.496677,1740,"lake sediment",Sieved,concentration,"Global Charcoal Database Version 4","central core",2021-05-07,11,8,16,US,USA
11,19,"Crater Lake CA core",41.3836,-122.5797,2288,"lake sediment",Sieved,concentration,"Global Charcoal Database Version 4","central core",2021-05-07,11,9,19,US,USA
12,21,"Mumbo core",41.191147,-122.510445,1860,"lake sediment",Sieved,concentration,"Global Charcoal Database Version 4","central core",2021-05-07,11,10,21,US,USA
13,23,"Trail core",44.28,-110.17,2362,"lake sediment",Sieved,concentration,"Global Charcoal Database Version 4",-777777,2020-03-06,11,11,23,US,USA
14,25,"Lost Lake core",45.822988,-123.579517,449,"lake sediment",Sieved,concentration,"Global Charcoal Database Version 4","central core",2021-05-07,11,12,25,US,USA
15,26,"Taylor OR long core",46.100556,123.906667,4,"lake sediment",Sieved,concentration,IMPD,-999999,2021-05-07,11,13,26,CN,CHN
17,29,"Beach Lake core",65.216667,-127.05,81,"lake sediment",-777777,concentration,IMPD,-999999,2021-05-07,69,14,29,CA,CAN
19,37,"Como core",37.55,-105.5,3523,"lake sediment",-777777,concentration,Neotoma,-777777,2021-12-01,137,15,37,US,USA
20,38,"Crane core",36.71,-112.21,2590,"lake sediment",-777777,concentration,Neotoma,-777777,2021-12-01,137,16,38,US,USA
21,39,"Excelsior Basin core_14_24",52.783333,-117.116667,2631,"lake sediment",-777777,concentration,"Global Charcoal Database Version 4",-999999,2021-05-07,86,17,39,CA,CAN
21,40,"Excelsior Basin core_gtr24",52.783333,-117.116667,2631,"lake sediment",-777777,concentration,"Global Charcoal Database Version 4",-999999,2021-05-07,61,18,40,CA,CAN
22,41,"Forest Pond 1 core",43.47,-109.93,2797,"lake sediment","Pollen slide","pollen concentration","Global Charcoal Database Version 4","central core",2021-05-07,78,19,41,US,USA
