"age","bin_ave","cu95","cl95","nentities","ninwin"
-100,0.435185793452105,1.10217103974545,-0.299166830992268,167,38
0,0.973813771958921,1.30796335658248,0.651404204336928,276,289
100,1.30688327659286,1.67094098277265,1.00732000629223,278,271
200,1.02152899474713,1.3990938804829,0.604296614676336,292,277
300,1.0393143865489,1.44335238775762,0.585604539923408,288,290
400,1.16543950409128,1.50670934856931,0.828125724608511,293,290
500,1.09037070520621,1.45159844919691,0.721010991691975,300,298
600,1.12495558478228,1.41041671210406,0.780519424310786,301,297
700,1.14389809614975,1.45927754086807,0.752731645024636,301,304
800,1.08464785869175,1.44198515130756,0.711082024465127,300,285
900,1.05771614768762,1.37839604056887,0.732968253067577,291,306
1000,1.07848284074991,1.39966268037422,0.745242574070281,294,303
1100,0.997512884249274,1.31910228674608,0.672330304782078,305,299
1200,1.08782318436607,1.36318287626831,0.768826643501656,300,296
1300,1.07661618572857,1.34075848500049,0.767022501869795,303,300
1400,1.18660198588245,1.43897372136244,0.903161237236431,287,303
1500,1.13960273698105,1.38083426110218,0.824319823350981,313,294
1600,1.20972833432195,1.50314381518266,0.89979816935335,278,302
1700,1.08744033181293,1.33783475342469,0.789066565309347,300,291
1800,1.11991157931509,1.41299500036246,0.808227833037601,293,282
1900,1.11859165139565,1.46578389503375,0.80280035187644,293,307
2000,0.975121366010016,1.24017918199152,0.674373431790703,297,288
2100,0.991681954485908,1.28549054677413,0.668435257709133,285,289
2200,0.951111294217266,1.2542241823302,0.618431445589418,282,290
2300,0.819883577760498,1.09385510552634,0.515002263791321,299,303
2400,0.914130982569784,1.2044756057217,0.588647307618374,291,286
2500,1.08670894396309,1.37945818346613,0.766661581392444,282,277
2600,0.947616429800239,1.21233001786032,0.663601986125239,292,292
2700,0.960499561446773,1.24834344109316,0.615047908965767,295,300
2800,0.93484128769074,1.23014504685889,0.608172248969411,286,282
2900,0.904004352669714,1.17749810552928,0.572039700538121,280,284
3000,0.85392917389878,1.15684059782987,0.540762071752205,294,291
3100,0.942441637458765,1.26075983403325,0.65988544756044,290,284
3200,0.92333584854684,1.20916428880388,0.598080994520547,282,287
3300,0.885350806120555,1.15830906063135,0.603501892533932,278,284
3400,0.87479349255909,1.15583614533173,0.5616614309658,280,278
3500,0.774473281801732,1.04876180802922,0.490447060882752,276,276
3600,0.825126643749869,1.11077229518529,0.52679636189083,285,272
3700,0.783416668896027,1.12218567574577,0.425124294054976,278,287
